"","Package","Version","License","Built"
"102","fgsea","1.30.0","MIT + file LICENCE","4.4.1"
"103","filelock","1.0.3","MIT + file LICENSE","4.4.1"
"104","fitdistrplus","1.2-1","GPL (>= 2)","4.4.1"
"105","FNN","1.1.4","GPL (>= 2)","4.4.1"
"106","fontawesome","0.5.2","MIT + file LICENSE","4.4.1"
"107","forcats","1.0.0","MIT + file LICENSE","4.4.1"
"108","foreach","1.5.2","Apache License (== 2.0)","4.4.1"
"109","formatR","1.14","GPL","4.4.1"
"110","Formula","1.2-5","GPL-2 | GPL-3","4.4.1"
"111","fs","1.6.4","MIT + file LICENSE","4.4.1"
"112","futile.logger","1.4.3","LGPL-3","4.4.1"
"113","futile.options","1.0.1","LGPL-3","4.4.1"
"114","future","1.33.2","LGPL (>= 2.1)","4.4.1"
"115","future.apply","1.11.2","GPL (>= 2)","4.4.1"
"116","gargle","1.5.2","MIT + file LICENSE","4.4.1"
"117","gcrma","2.76.0","LGPL","4.4.1"
"118","genefilter","1.86.0","Artistic-2.0","4.4.1"
"119","generics","0.1.3","MIT + file LICENSE","4.4.1"
"120","GenomeInfoDb","1.40.1","Artistic-2.0","4.4.1"
"121","GenomeInfoDbData","1.2.12","Artistic-2.0","4.4.1"
"122","GenomicAlignments","1.40.0","Artistic-2.0","4.4.1"
"123","GenomicFeatures","1.56.0","Artistic-2.0","4.4.1"
"124","GenomicRanges","1.56.1","Artistic-2.0","4.4.1"
"125","GEOquery","2.72.0","MIT","4.4.1"
"126","gert","2.1.0","MIT + file LICENSE","4.4.1"
"127","GGally","2.2.1","GPL (>= 2.0)","4.4.1"
"128","ggbeeswarm","0.7.2","GPL (>= 3)","4.4.1"
"129","ggbio","1.52.0","Artistic-2.0","4.4.1"
"130","ggforce","0.4.2","MIT + file LICENSE","4.4.1"
"131","ggfun","0.1.5","Artistic-2.0","4.4.1"
"132","ggnewscale","0.5.0","GPL-3","4.4.1"
"133","ggplot2","3.5.1","MIT + file LICENSE","4.4.1"
"134","ggplotify","0.1.2","Artistic-2.0","4.4.1"
"135","ggraph","2.2.1","MIT + file LICENSE","4.4.1"
"136","ggrastr","1.0.2","MIT + file LICENSE","4.4.1"
"137","ggrepel","0.9.5","GPL-3 | file LICENSE","4.4.1"
"138","ggridges","0.5.6","GPL-2 | file LICENSE","4.4.1"
"139","ggstats","0.6.0","GPL (>= 3)","4.4.1"
"140","ggtree","3.12.0","Artistic-2.0","4.4.1"
"141","ggupset","0.4.0","GPL-3","4.4.1"
"142","gh","1.4.1","MIT + file LICENSE","4.4.1"
